concurrency,count,load_time,instantiate_time,stop_time,container_removal_time,image_removal_time,display_date
8,27,12249795244,418270521,2167338810,409631499,483024544,2024-04-16 0:11:27
8,28,11806449678,404704566,2372543005,409113230,486785009,2024-04-16 0:13:13
8,29,11884522351,423809107,1991978911,413092832,466219791,2024-04-16 0:14:59
8,30,11705833517,434877262,2011598926,414342225,471838572,2024-04-16 0:16:44
8,31,11653353614,465596430,2032182707,414912630,497523896,2024-04-16 0:18:30
8,32,12224830045,460400774,2213010375,406711273,500470100,2024-04-16 0:20:16
8,33,12308318473,457089010,2106324394,409904238,468330057,2024-04-16 0:22:01
8,34,12083924253,372722849,1988233276,406318888,471668777,2024-04-16 0:23:47
8,35,10901685890,515837640,2495573581,413884469,466501312,2024-04-16 0:25:32
8,36,11266068449,425676638,2054073447,411662023,470524602,2024-04-16 0:27:17
8,37,11085912009,424116847,2106209684,407901482,471705014,2024-04-16 0:29:02
8,38,11755207586,457058112,2153884996,357678129,475615958,2024-04-16 0:30:47
8,39,12067849605,435109075,2309614279,409263280,467908066,2024-04-16 0:32:33
8,40,11668866634,410655219,2130862853,403068155,484055636,2024-04-16 0:34:19
8,41,12270432117,455801893,2284253290,411876021,483752587,2024-04-16 0:36:05
8,42,11963031746,445513076,2188871400,410074277,464564111,2024-04-16 0:37:51
8,43,11958135620,414225343,2125190864,408757428,465930142,2024-04-16 0:39:36
8,44,12245429351,437897496,2011573535,411297126,478158545,2024-04-16 0:41:22
8,45,11041744360,423692492,3390482504,411910909,490545794,2024-04-16 0:43:08
8,46,11167391813,416496712,2063287573,413428815,514954677,2024-04-16 0:44:54
8,47,12058212856,465564641,2176983931,412469341,537700095,2024-04-16 0:46:40
8,48,11961744673,421293749,2154999186,406848884,469089860,2024-04-16 0:48:25
8,49,12186668212,450907790,2117235287,411183385,480474221,2024-04-16 0:50:11
8,50,12029929680,405658592,2043439807,415453417,467012509,2024-04-16 0:51:57
8,51,12173808958,423614452,2221552112,405529937,466364286,2024-04-16 0:53:42
8,52,10970687398,445619312,2202075995,411979829,472749148,2024-04-16 0:55:27
